date,link,html
Jan 05 2012 CST,http://host.madison.com/news/local/govt-and-politics/area-election-filings/article_829a4594-37bc-11e1-8c3c-0019bb2963f4.html,"<h2 class=""timeline-img-hed"">Area election filings</h2><img src="""" width=""100"">"
Jan 04 2012 CST,http://host.madison.com/news/local/govt-and-politics/elections/strength-of-dane-county-board-s-conservative-bloc-could-get/article_25e3a116-367b-11e1-bb1e-0019bb2963f4.html,"<h2 class=""timeline-img-hed"">Strength of Dane County Board's conservative bloc could get reduced</h2><img src=""http://bloximages.chicago2.vip.townnews.com/host.madison.com/content/tncms/assets/v3/editorial/a/56/a56fe394-75d9-11e0-929d-001cc4c002e0/4dc089ed4ef94.preview-100.jpg"" width=""100"">"
Jan 04 2012 CST,http://host.madison.com/news/local/education/local_schools/madison-prep-at-front-and-center-of-school-board-races/article_534767e0-367c-11e1-a2e2-0019bb2963f4.html,"<h2 class=""timeline-img-hed"">Madison Prep at front and center of School Board races</h2><img src=""http://bloximages.chicago2.vip.townnews.com/host.madison.com/content/tncms/assets/v3/editorial/7/8a/78a44e76-5ca5-5cd1-a3ff-951030952dd4/4eeff70499ab2.preview-100.jpg"" width=""100"">"
Jan 04 2012 CST,http://host.madison.com/news/local/govt-and-politics/county-city-and-school-board-election-filings/article_fd92f8a6-367f-11e1-b7c6-0019bb2963f4.html,"<h2 class=""timeline-img-hed"">County - city and school board election filings</h2><img src="""" width=""100"">"
Dec 31 2011 CST,http://host.madison.com/news/local/education/local_schools/urban-league-exec-to-take-on-silveira/article_3f3149a4-33b3-11e1-a84a-0019bb2963f4.html,"<h2 class=""timeline-img-hed"">Urban League exec to take on Silveira</h2><img src="""" width=""100"">"
Dec 13 2011 CST,http://host.madison.com/news/local/education/local_schools/mary-burke-to-run-for-madison-school-board/article_e4d389ca-24d7-11e1-a987-001871e3ce6c.html,"<h2 class=""timeline-img-hed"">Mary Burke to run for Madison School Board</h2><img src=""http://bloximages.chicago2.vip.townnews.com/host.madison.com/content/tncms/assets/v3/editorial/7/07/707c727c-8d7f-5eea-b074-b24280d7aae8/4e84f43ae9d62.preview-100.jpg"" width=""100"">"
